BEGIN TRANSACTION;
DROP TABLE employee;
CREATE TABLE employee (id INT PRIMARY KEY, first_name VARCHAR, surname VARCHAR, mf VARCHAR, date_birth DATE, date_started DATE, salary INT);
INSERT INTO employee VALUES (148, 'Matt', 'Hammond', 'M', '08/06/1975', '12/10/1998', 72000);
INSERT INTO employee VALUES (149, 'Jonny', 'Hargreaves', 'M', '12/01/1973', '28/08/2007', 72000);
INSERT INTO employee VALUES (150, 'Richard', 'Drake', 'M', '08/12/1965', '07/01/2013', 139000);
INSERT INTO employee VALUES (151, 'Gary', 'Tanner', 'M', '27/03/1958', '17/08/2003', 62000);
INSERT INTO employee VALUES (152, 'Sarah', 'Drake', 'F', '01/10/1972', '10/09/2001', 113000);
INSERT INTO employee VALUES (153, 'Ben', 'Hargreaves', 'M', '18/06/1969', '21/06/2007', 14000);
INSERT INTO employee VALUES (154, 'Jordan', 'Plum', 'M', '05/09/1967', '18/02/2005', 58000);
INSERT INTO employee VALUES (155, 'Jordan', 'Kraja', 'M', '03/07/1972', '11/05/2014', 39000);
INSERT INTO employee VALUES (156, 'Dave', 'Hammond', 'M', '08/01/1978', '02/08/2003', 106000);
INSERT INTO employee VALUES (157, 'Gary', 'Brennan', 'M', '27/03/1970', '22/05/1999', 108000);
INSERT INTO employee VALUES (158, 'Gary', 'Charnock', 'M', '03/01/1965', '27/06/2012', 114000);
INSERT INTO employee VALUES (159, 'Diane', 'Salt', 'F', '31/10/1959', '01/03/2015', 122000);
INSERT INTO employee VALUES (160, 'Jonny', 'Barr', 'M', '23/02/1958', '25/04/2000', 62000);
INSERT INTO employee VALUES (161, 'Harry', 'Tulip', 'M', '22/07/1966', '14/02/2013', 127000);
INSERT INTO employee VALUES (162, 'Ermintrude', 'Woch', 'F', '13/09/1966', '26/07/1999', 115000);
INSERT INTO employee VALUES (163, 'Larry', 'Charnock', 'M', '10/08/1963', '07/04/2002', 97000);
INSERT INTO employee VALUES (164, 'Bernard', 'Kraja', 'M', '20/12/1964', '01/08/1998', 145000);
INSERT INTO employee VALUES (165, 'Dave', 'Fortescue-Smythe', 'M', '07/11/1966', '16/07/2015', 133000);
INSERT INTO employee VALUES (166, 'Diane', 'Mew', 'F', '10/02/1965', '03/03/2006', 44000);
INSERT INTO employee VALUES (167, 'Larry', 'McKemey', 'M', '29/07/1974', '21/02/2007', 22000);
INSERT INTO employee VALUES (168, 'Dermot', 'Fortescue-Smythe', 'M', '09/12/1971', '05/10/2012', 142000);
INSERT INTO employee VALUES (169, 'Bella', 'Burrows', 'F', '27/05/1964', '02/08/2001', 23000);
INSERT INTO employee VALUES (170, 'Beth', 'Woch', 'F', '16/02/1957', '27/06/2009', 35000);
INSERT INTO employee VALUES (171, 'Jon', 'Tulip', 'M', '15/08/1960', '20/06/2014', 97000);
INSERT INTO employee VALUES (172, 'Rob', 'Charnock', 'M', '17/06/1968', '10/02/2008', 33000);
INSERT INTO employee VALUES (173, 'Barry', 'Plum', 'M', '19/08/1958', '28/09/2013', 94000);
INSERT INTO employee VALUES (174, 'Maureen', 'Brennan', 'F', '13/03/1964', '23/07/2005', 116000);
INSERT INTO employee VALUES (175, 'George', 'Taylor', 'M', '18/06/1959', '28/02/2000', 84000);
INSERT INTO employee VALUES (176, 'Angie', 'Kraja', 'F', '13/04/1975', '21/08/2007', 130000);
INSERT INTO employee VALUES (177, 'Angie', 'England', 'F', '06/04/1978', '30/04/2000', 91000);
INSERT INTO employee VALUES (178, 'Angie', 'Salt', 'F', '15/01/1978', '23/06/2015', 132000);
INSERT INTO employee VALUES (179, 'Karen', 'Hammond', 'F', '25/11/1968', '28/12/2015', 43000);
INSERT INTO employee VALUES (180, 'Victoria', 'Woch', 'F', '18/07/1968', '06/10/2001', 25000);
INSERT INTO employee VALUES (181, 'Emily', 'Hammond', 'F', '12/05/1959', '20/02/1999', 66000);
INSERT INTO employee VALUES (182, 'Emily', 'Brennan', 'F', '17/01/1974', '30/04/2008', 138000);
INSERT INTO employee VALUES (183, 'Boris', 'Tanner', 'M', '24/06/1977', '18/12/2015', 126000);
INSERT INTO employee VALUES (184, 'Nadia', 'Charnock', 'F', '28/09/1959', '17/02/1999', 13000);
INSERT INTO employee VALUES (185, 'Beth', 'Hargreaves', 'F', '06/02/1977', '28/08/2002', 145000);
INSERT INTO employee VALUES (186, 'Zoe', 'Smith', 'F', '04/02/1960', '02/12/2003', 32000);
INSERT INTO employee VALUES (187, 'Jon', 'Plum', 'M', '22/07/1973', '01/03/2004', 137000);
INSERT INTO employee VALUES (188, 'George', 'Barr', 'M', '03/04/1961', '14/12/2006', 130000);
INSERT INTO employee VALUES (189, 'Ben', 'Smith', 'M', '19/11/1960', '30/01/2013', 132000);
INSERT INTO employee VALUES (190, 'Faye', 'Smith', 'F', '02/12/1961', '31/05/2008', 111000);
INSERT INTO employee VALUES (191, 'James', 'Woch', 'M', '25/05/1970', '09/07/1999', 90000);
INSERT INTO employee VALUES (192, 'Sarah', 'Drake', 'F', '26/06/1968', '12/05/2006', 10000);
INSERT INTO employee VALUES (193, 'Cherie', 'Hargreaves', 'F', '24/04/1966', '26/09/1999', 26000);
INSERT INTO employee VALUES (194, 'Claire', 'Drake', 'F', '01/10/1972', '12/02/2005', 46000);
INSERT INTO employee VALUES (195, 'Matt', 'Kraja', 'M', '01/12/1975', '26/03/1998', 58000);
INSERT INTO employee VALUES (196, 'Rob', 'Salt', 'M', '12/01/1972', '10/12/2007', 15000);
INSERT INTO employee VALUES (197, 'Beth', 'Barr', 'F', '25/11/1978', '04/10/2008', 18000);
INSERT INTO employee VALUES (198, 'Angie', 'Barr', 'F', '31/10/1975', '05/12/2005', 18000);
INSERT INTO employee VALUES (199, 'Dermot', 'McKemey', 'M', '27/05/1971', '25/04/2006', 45000);
INSERT INTO employee VALUES (200, 'Terry', 'Salt', 'M', '08/05/1965', '03/08/2001', 101000);
INSERT INTO employee VALUES (201, 'Harry', 'Mew', 'M', '25/09/1972', '18/08/2008', 142000);
INSERT INTO employee VALUES (202, 'Gav', 'Kraja', 'M', '04/01/1969', '10/11/2001', 26000);
INSERT INTO employee VALUES (203, 'Karen', 'Kraja', 'F', '05/12/1957', '14/02/2000', 11000);
INSERT INTO employee VALUES (204, 'Jonny', 'Drake', 'M', '11/10/1956', '21/09/2000', 87000);
INSERT INTO employee VALUES (205, 'Karen', 'Smith', 'F', '25/12/1961', '03/06/2000', 73000);
INSERT INTO employee VALUES (206, 'Mary', 'Smith', 'F', '05/04/1967', '07/08/2012', 123000);
INSERT INTO employee VALUES (207, 'Emily', 'Tanner', 'F', '18/12/1978', '06/03/2010', 104000);
INSERT INTO employee VALUES (208, 'Beth', 'Kraja', 'F', '27/03/1967', '17/01/2015', 24000);
INSERT INTO employee VALUES (209, 'Zoe', 'Kraja', 'F', '08/08/1961', '05/01/2000', 57000);
INSERT INTO employee VALUES (210, 'James', 'England', 'M', '14/05/1961', '27/12/2008', 86000);
INSERT INTO employee VALUES (211, 'Bella', 'Tulip', 'F', '18/01/1973', '11/06/2000', 79000);
INSERT INTO employee VALUES (212, 'Zoe', 'Tulip', 'F', '21/04/1970', '12/03/2014', 36000);
INSERT INTO employee VALUES (213, 'Angie', 'Hammond', 'F', '29/10/1964', '08/09/2009', 141000);
INSERT INTO employee VALUES (214, 'Nadia', 'Barr', 'F', '13/02/1977', '23/03/2003', 41000);
INSERT INTO employee VALUES (215, 'Barry', 'Brennan', 'M', '19/12/1976', '29/11/2007', 95000);
INSERT INTO employee VALUES (216, 'Harriet', 'Burrows', 'F', '05/07/1965', '21/03/2012', 145000);
INSERT INTO employee VALUES (217, 'Matt', 'Smith', 'M', '27/03/1959', '15/12/2011', 84000);
INSERT INTO employee VALUES (218, 'Pete', 'Baker', 'M', '13/01/1956', '28/04/2012', 19000);
INSERT INTO employee VALUES (219, 'Dermot', 'Tulip', 'M', '12/03/1975', '14/04/2007', 33000);
INSERT INTO employee VALUES (220, 'Matt', 'Tulip', 'M', '20/02/1959', '04/06/2013', 48000);
INSERT INTO employee VALUES (221, 'Harry', 'Hammond', 'M', '03/05/1972', '03/06/2010', 50000);
INSERT INTO employee VALUES (222, 'Nadia', 'Hammond', 'F', '07/07/1963', '03/05/2014', 29000);
INSERT INTO employee VALUES (223, 'Matt', 'Brennan', 'M', '07/06/1978', '09/06/2007', 144000);
INSERT INTO employee VALUES (224, 'Larry', 'Taylor', 'M', '14/03/1965', '02/03/2012', 72000);
INSERT INTO employee VALUES (225, 'Bella', 'Tanner', 'F', '06/05/1960', '25/01/2013', 24000);
INSERT INTO employee VALUES (226, 'Angie', 'Woch', 'F', '28/09/1970', '14/11/2014', 140000);
INSERT INTO employee VALUES (227, 'Harriet', 'Hammond', 'F', '11/09/1977', '11/04/2009', 22000);
INSERT INTO employee VALUES (228, 'Diane', 'Russell', 'F', '09/04/1971', '31/08/2005', 51000);
INSERT INTO employee VALUES (229, 'Ben', 'Hargreaves', 'M', '25/01/1975', '30/07/2012', 16000);
INSERT INTO employee VALUES (230, 'Gary', 'Brennan', 'M', '30/12/1962', '04/08/2002', 109000);
INSERT INTO employee VALUES (231, 'Lauren', 'Drake', 'F', '04/02/1971', '30/07/2008', 108000);
INSERT INTO employee VALUES (232, 'Ben', 'Kraja', 'M', '25/02/1973', '05/10/2006', 95000);
INSERT INTO employee VALUES (233, 'Gav', 'Taylor', 'M', '23/01/1958', '30/01/2004', 33000);
INSERT INTO employee VALUES (234, 'Pete', 'Plum', 'M', '09/09/1974', '25/12/2013', 43000);
INSERT INTO employee VALUES (235, 'Dermot', 'Plum', 'M', '04/02/1972', '10/05/2012', 69000);
INSERT INTO employee VALUES (236, 'Jonny', 'McKemey', 'M', '27/04/1975', '25/04/2001', 68000);
INSERT INTO employee VALUES (237, 'Frank', 'Hammond', 'M', '23/03/1972', '11/09/2012', 81000);
INSERT INTO employee VALUES (238, 'Dermot', 'Woch', 'M', '11/03/1979', '31/05/2006', 135000);
INSERT INTO employee VALUES (239, 'Boris', 'McKemey', 'M', '05/03/1959', '30/06/2011', 33000);
INSERT INTO employee VALUES (240, 'Angie', 'Woch', 'F', '18/05/1972', '17/08/2013', 122000);
INSERT INTO employee VALUES (241, 'Gav', 'Woch', 'M', '27/04/1961', '02/12/2003', 75000);
INSERT INTO employee VALUES (242, 'Beth', 'Hammond', 'F', '24/07/1977', '05/03/1998', 48000);
INSERT INTO employee VALUES (243, 'Barry', 'Woch', 'M', '11/12/1977', '13/06/2000', 51000);
INSERT INTO employee VALUES (244, 'Harry', 'Hammond', 'M', '27/04/1965', '24/11/2013', 82000);
INSERT INTO employee VALUES (245, 'Dave', 'Hargreaves', 'M', '28/03/1969', '01/12/2005', 100000);
INSERT INTO employee VALUES (246, 'Jonny', 'Taylor', 'M', '15/08/1959', '06/03/2000', 69000);
INSERT INTO employee VALUES (247, 'Will', 'Russell', 'M', '13/12/1970', '05/01/2013', 132000);
INSERT INTO employee VALUES (248, 'Zoe', 'Woch', 'F', '04/04/1964', '21/01/2003', 125000);
INSERT INTO employee VALUES (249, 'Terry', 'Hammond', 'M', '26/03/1958', '09/11/2011', 139000);
INSERT INTO employee VALUES (250, 'Faye', 'Charnock', 'F', '13/08/1968', '20/09/2008', 42000);
INSERT INTO employee VALUES (251, 'Barry', 'Mew', 'M', '05/05/1976', '16/07/2002', 71000);
INSERT INTO employee VALUES (252, 'Matt', 'Taylor', 'M', '15/02/1971', '29/11/2011', 12000);
INSERT INTO employee VALUES (253, 'Lauren', 'Drake', 'F', '02/11/1964', '19/03/2012', 51000);
INSERT INTO employee VALUES (254, 'Sarah', 'Russell', 'F', '19/06/1969', '27/02/2006', 125000);
